ID,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,Year
budinch01,Kwame Brown,C,28,CHA,66,50,26.0,2.9,5.7,.517,0.0,0.0,,2.9,5.7,.517,.517,2.1,3.5,.589,2.2,4.6,6.8,0.7,0.4,0.6,1.0,2.6,7.9,2011
butleca01,Shannon Brown,SG,25,LAL,82,0,19.1,3.3,7.8,.425,0.9,2.6,.349,2.4,5.3,.462,.482,1.1,1.2,.911,0.4,1.5,1.9,1.2,0.8,0.2,0.9,1.5,8.7,2011
butlera01,Kobe Bryant,SG,32,LAL,82,82,33.9,9.0,20.0,.451,1.4,4.3,.323,7.6,15.6,.487,.487,5.9,7.1,.828,1.0,4.1,5.1,4.7,1.2,0.1,3.0,2.1,25.3,2011
butlera01,Chase Budinger,SF,22,HOU,78,22,22.3,3.6,8.4,.425,1.1,3.5,.325,2.4,4.9,.497,.493,1.5,1.8,.855,0.7,2.9,3.6,1.6,0.5,0.2,0.9,1.5,9.8,2011
butlera01,Caron Butler,SF,30,DAL,29,29,29.9,5.9,13.0,.450,1.0,2.2,.431,4.9,10.8,.454,.487,2.3,3.0,.773,0.8,3.3,4.1,1.6,1.0,0.3,1.7,2.0,15.0,2011
bynuman01,Rasual Butler,SG,31,TOT,47,2,16.4,1.7,5.0,.333,1.0,2.9,.338,0.7,2.1,.327,.430,0.4,0.6,.667,0.2,1.4,1.6,0.6,0.2,0.3,0.5,0.8,4.7,2011
bynumwi01,Rasual Butler,SG,31,LAC,41,2,18.1,1.8,5.5,.323,1.0,3.1,.326,0.8,2.4,.320,.416,0.4,0.7,.667,0.2,1.6,1.9,0.7,0.2,0.4,0.5,0.8,5.0,2011
caldejo01,Rasual Butler,SG,31,CHI,6,0,4.3,1.0,1.8,.545,0.7,1.2,.571,0.3,0.7,.500,.727,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.5,2.7,2011
cambyma01,Andrew Bynum,C,23,LAL,54,47,27.8,4.4,7.6,.574,0.0,0.0,,4.4,7.6,.574,.574,2.6,3.9,.660,3.1,6.3,9.4,1.4,0.4,2.0,1.4,2.6,11.3,2011
caracde01,Will Bynum,PG,28,DET,61,5,18.4,3.0,6.7,.448,0.3,0.8,.320,2.7,5.8,.466,.468,1.7,2.0,.836,0.2,1.0,1.2,3.2,0.9,0.1,1.4,1.9,7.9,2011
cardibr01,Jose Calderon,PG,29,TOR,68,55,30.9,3.9,8.8,.440,0.8,2.3,.365,3.0,6.5,.466,.487,1.3,1.5,.854,0.4,2.5,3.0,8.9,1.2,0.1,2.2,2.1,9.8,2011
