Indiana Pacers,90,Washington Wizards,104,2011
San Antonio Spurs,99,Dallas Mavericks,93,2011
New York Knicks,103,Orlando Magic,112,2011
Utah Jazz,89,Portland Trail Blazers,100,2011
New Orleans Hornets,83,Boston Celtics,81,2011
Golden State Warriors,96,Charlotte Bobcats,95,2011
New Jersey Nets,81,Chicago Bulls,90,2011
Toronto Raptors,105,Houston Rockets,114,2011
Washington Wizards,86,Indiana Pacers,95,2011
Philadelphia 76ers,98,Los Angeles Lakers,102,2011
Atlanta Hawks,94,Oklahoma City Thunder,103,2011
Detroit Pistons,75,Phoenix Suns,92,2011
Cleveland Cavaliers,91,Chicago Bulls,100,2011
Sacramento Kings,86,Denver Nuggets,104,2011
Golden State Warriors,107,Miami Heat,114,2011
Dallas Mavericks,87,Milwaukee Bucks,99,2011
New Jersey Nets,88,Minnesota Timberwolves,103,2011
Oklahoma City Thunder,74,San Antonio Spurs,101,2011
Memphis Grizzlies,92,Utah Jazz,98,2011
New Orleans Hornets,92,Washington Wizards,81,2011
Dallas Mavericks,104,Cleveland Cavaliers,95,2011
Atlanta Hawks,107,Los Angeles Clippers,98,2011
Memphis Grizzlies,104,Los Angeles Lakers,85,2011
Indiana Pacers,92,New York Knicks,98,2011
Houston Rockets,85,Portland Trail Blazers,100,2011
Phoenix Suns,89,Sacramento Kings,94,2011
Boston Celtics,93,Toronto Raptors,79,2011
Minnesota Timberwolves,93,Boston Celtics,96,2011
Miami Heat,96,Charlotte Bobcats,82,2011
Houston Rockets,106,Denver Nuggets,113,2011
Philadelphia 76ers,77,New Orleans Hornets,84,2011
Golden State Warriors,90,Orlando Magic,110,2011
Detroit Pistons,97,Utah Jazz,102,2011
Toronto Raptors,91,Chicago Bulls,111,2011
Portland Trail Blazers,81,Dallas Mavericks,84,2011
Detroit Pistons,83,Los Angeles Lakers,108,2011
Oklahoma City Thunder,105,Memphis Grizzlies,110,2011
Milwaukee Bucks,89,Miami Heat,101,2011
San Antonio Spurs,115,New York Knicks,128,2011
Atlanta Hawks,108,Sacramento Kings,102,2011
San Antonio Spurs,103,Boston Celtics,105,2011
Toronto Raptors,120,Cleveland Cavaliers,105,2011
Portland Trail Blazers,103,Houston Rockets,100,2011
Denver Nuggets,93,Los Angeles Clippers,106,2011
Charlotte Bobcats,108,Minnesota Timberwolves,105,2011
Chicago Bulls,94,New Jersey Nets,96,2011
Golden State Warriors,110,New Orleans Hornets,103,2011
Milwaukee Bucks,87,Orlando Magic,97,2011
Washington Wizards,97,Philadelphia 76ers,109,2011
Los Angeles Lakers,99,Phoenix Suns,95,2011
Atlanta Hawks,110,Utah Jazz,87,2011
Oklahoma City Thunder,99,Dallas Mavericks,95,2011
Denver Nuggets,102,Sacramento Kings,122,2011
Toronto Raptors,102,Boston Celtics,122,2011
Cleveland Cavaliers,98,Golden State Warriors,116,2011
San Antonio Spurs,90,Indiana Pacers,87,2011
New Orleans Hornets,97,Los Angeles Lakers,101,2011
Utah Jazz,99,Memphis Grizzlies,110,2011
Miami Heat,101,Milwaukee Bucks,95,2011
Portland Trail Blazers,108,Minnesota Timberwolves,98,2011
Houston Rockets,95,Orlando Magic,110,2011
Chicago Bulls,99,Philadelphia 76ers,105,2011
New York Knicks,121,Phoenix Suns,96,2011
New Jersey Nets,77,Washington Wizards,97,2011
